0 ,0, 0
1 ,0, 0
2 ,0, 0
3 ,0, 0
4 ,0, 0
5 ,0, 0
6 ,0, 0
7 ,0, 0
8 ,0, 0
9 ,0, 0
10 ,0, 0
0 ,1, 0
1 ,1, -1.10383701417162
2 ,1, -2.14327227472585
3 ,1, -3.02622440896139
4 ,1, -3.64050776678317
5 ,1, -3.86385471738439
6 ,1, -3.64050776678316
7 ,1, -3.02622440896137
8 ,1, -2.14327227472583
9 ,1, -1.1038370141716
10 ,1, 0
0 ,2, 0
1 ,2, -2.14327227472585
2 ,2, -4.16055145058056
3 ,2, -5.90134924266986
4 ,2, -7.13458440579765
5 ,2, -7.59000563346824
6 ,2, -7.13458440579762
7 ,2, -5.90134924266982
8 ,2, -4.16055145058052
9 ,2, -2.14327227472583
10 ,2, 0
0 ,3, 0
1 ,3, -3.02622440896139
2 ,3, -5.90134924266986
3 ,3, -8.44001029310178
4 ,3, -10.3105108655782
5 ,3, -11.0260920501043
6 ,3, -10.3105108655782
7 ,3, -8.44001029310173
8 ,3, -5.90134924266982
9 ,3, -3.02622440896136
10 ,3, 0
0 ,4, 0
1 ,4, -3.64050776678318
2 ,4, -7.13458440579765
3 ,4, -10.3105108655782
4 ,4, -12.809312121349
5 ,4, -13.8380934978653
6 ,4, -12.809312121349
7 ,4, -10.3105108655782
8 ,4, -7.1345844057976
9 ,4, -3.64050776678315
10 ,4, 0
0 ,5, 0
1 ,5, -3.8638547173844
2 ,5, -7.59000563346825
3 ,5, -11.0260920501043
4 ,5, -13.8380934978653
5 ,5, -15.3256154485541
6 ,5, -13.8380934978652
7 ,5, -11.0260920501042
8 ,5, -7.5900056334682
9 ,5, -3.86385471738437
10 ,5, 0
0 ,6, 0
1 ,6, -3.64050776678316
2 ,6, -7.13458440579763
3 ,6, -10.3105108655782
4 ,6, -12.809312121349
5 ,6, -13.8380934978652
6 ,6, -12.809312121349
7 ,6, -10.3105108655781
8 ,6, -7.13458440579758
9 ,6, -3.64050776678314
10 ,6, 0
0 ,7, 0
1 ,7, -3.02622440896137
2 ,7, -5.90134924266983
3 ,7, -8.44001029310173
4 ,7, -10.3105108655782
5 ,7, -11.0260920501042
6 ,7, -10.3105108655781
7 ,7, -8.44001029310169
8 ,7, -5.90134924266979
9 ,7, -3.02622440896135
10 ,7, 0
0 ,8, 0
1 ,8, -2.14327227472583
2 ,8, -4.16055145058053
3 ,8, -5.90134924266982
4 ,8, -7.1345844057976
5 ,8, -7.59000563346819
6 ,8, -7.13458440579758
7 ,8, -5.9013492426698
8 ,8, -4.1605514505805
9 ,8, -2.14327227472582
10 ,8, 0
0 ,9, 0
1 ,9, -1.1038370141716
2 ,9, -2.14327227472583
3 ,9, -3.02622440896136
4 ,9, -3.64050776678314
5 ,9, -3.86385471738436
6 ,9, -3.64050776678313
7 ,9, -3.02622440896135
8 ,9, -2.14327227472582
9 ,9, -1.1038370141716
10 ,9, 0
0 ,10, 0
1 ,10, 0
2 ,10, 0
3 ,10, 0
4 ,10, 0
5 ,10, 0
6 ,10, 0
7 ,10, 0
8 ,10, 0
9 ,10, 0
10 ,10, 0
